id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
1,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,47.0,MILIMETER,2015
2,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,44.0,MILIMETER,2015
3,32.0,JAWA BARAT,CITARUM,CIHERANG,MARET,35.0,MILIMETER,2015
4,32.0,JAWA BARAT,CITARUM,CIHERANG,APRIL,40.0,MILIMETER,2015
5,32.0,JAWA BARAT,CITARUM,CIHERANG,MEI,26.0,MILIMETER,2015
6,32.0,JAWA BARAT,CITARUM,CIHERANG,JUNI,32.0,MILIMETER,2015
7,32.0,JAWA BARAT,CITARUM,CIHERANG,JULI,24.0,MILIMETER,2015
8,32.0,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,3.0,MILIMETER,2015
9,32.0,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,16.0,MILIMETER,2015
10,32.0,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,42.0,MILIMETER,2015
11,32.0,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,19.0,MILIMETER,2015
12,32.0,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,29.0,MILIMETER,2015
13,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,43.0,MILIMETER,2015
14,32.0,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,53.0,MILIMETER,2015
15,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MARET,26.0,MILIMETER,2015
16,32.0,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,98.0,MILIMETER,2015
17,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MEI,19.5,MILIMETER,2015
18,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,26.0,MILIMETER,2015
19,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JULI,0.0,MILIMETER,2015
20,32.0,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,0.0,MILIMETER,2015
21,32.0,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,8.5,MILIMETER,2015
22,32.0,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,17.0,MILIMETER,2015
23,32.0,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,75.5,MILIMETER,2015
24,32.0,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,29.0,MILIMETER,2015
25,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,80.0,MILIMETER,2016
26,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,45.0,MILIMETER,2016
27,32.0,JAWA BARAT,CITARUM,CIHERANG,MARET,65.0,MILIMETER,2016
28,32.0,JAWA BARAT,CITARUM,CIHERANG,APRIL,44.0,MILIMETER,2016
29,32.0,JAWA BARAT,CITARUM,CIHERANG,MEI,62.0,MILIMETER,2016
30,32.0,JAWA BARAT,CITARUM,CIHERANG,JUNI,39.0,MILIMETER,2016
31,32.0,JAWA BARAT,CITARUM,CIHERANG,JULI,61.0,MILIMETER,2016
32,32.0,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,26.0,MILIMETER,2016
33,32.0,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,69.0,MILIMETER,2016
34,32.0,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,61.0,MILIMETER,2016
35,32.0,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,60.0,MILIMETER,2016
36,32.0,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,41.0,MILIMETER,2016
37,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,43.0,MILIMETER,2016
38,32.0,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,53.0,MILIMETER,2016
39,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MARET,26.0,MILIMETER,2016
40,32.0,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,24.5,MILIMETER,2016
41,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MEI,40.1,MILIMETER,2016
42,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,49.5,MILIMETER,2016
43,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JULI,15.0,MILIMETER,2016
44,32.0,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,29.5,MILIMETER,2016
45,32.0,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,34.0,MILIMETER,2016
46,32.0,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,19.0,MILIMETER,2016
47,32.0,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,19.0,MILIMETER,2016
48,32.0,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,29.0,MILIMETER,2016
49,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,81.0,MILIMETER,2017
50,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,39.0,MILIMETER,2017
51,32.0,JAWA BARAT,CITARUM,CIHERANG,MARET,33.0,MILIMETER,2017
52,32.0,JAWA BARAT,CITARUM,CIHERANG,APRIL,38.0,MILIMETER,2017
53,32.0,JAWA BARAT,CITARUM,CIHERANG,MEI,54.0,MILIMETER,2017
54,32.0,JAWA BARAT,CITARUM,CIHERANG,JUNI,22.0,MILIMETER,2017
55,32.0,JAWA BARAT,CITARUM,CIHERANG,JULI,25.2,MILIMETER,2017
56,32.0,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,13.0,MILIMETER,2017
57,32.0,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,22.5,MILIMETER,2017
58,32.0,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,47.0,MILIMETER,2017
59,32.0,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,62.8,MILIMETER,2017
60,32.0,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,60.0,MILIMETER,2017
61,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,21.0,MILIMETER,2017
62,32.0,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,22.0,MILIMETER,2017
63,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MARET,42.0,MILIMETER,2017
64,32.0,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,59.0,MILIMETER,2017
65,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MEI,9.0,MILIMETER,2017
66,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,0.0,MILIMETER,2017
67,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JULI,68.0,MILIMETER,2017
68,32.0,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,27.5,MILIMETER,2017
69,32.0,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,27.0,MILIMETER,2017
70,32.0,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,51.5,MILIMETER,2017
71,32.0,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,95.0,MILIMETER,2017
72,32.0,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,54.0,MILIMETER,2017
73,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,29.0,MILIMETER,2018
74,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,40.0,MILIMETER,2018
75,32.0,JAWA BARAT,CITARUM,CIHERANG,MARET,72.0,MILIMETER,2018
76,32.0,JAWA BARAT,CITARUM,CIHERANG,APRIL,42.0,MILIMETER,2018
77,32.0,JAWA BARAT,CITARUM,CIHERANG,MEI,22.0,MILIMETER,2018
78,32.0,JAWA BARAT,CITARUM,CIHERANG,JUNI,18.0,MILIMETER,2018
79,32.0,JAWA BARAT,CITARUM,CIHERANG,JULI,2.0,MILIMETER,2018
80,32.0,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,30.0,MILIMETER,2018
81,32.0,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,41.0,MILIMETER,2018
82,32.0,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,55.0,MILIMETER,2018
83,32.0,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,68.0,MILIMETER,2018
84,32.0,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,52.0,MILIMETER,2018
85,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,52.0,MILIMETER,2018
86,32.0,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,34.5,MILIMETER,2018
87,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MARET,59.0,MILIMETER,2018
88,32.0,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,32.0,MILIMETER,2018
89,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MEI,11.0,MILIMETER,2018
90,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,15.0,MILIMETER,2018
91,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JULI,0.0,MILIMETER,2018
92,32.0,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,7.5,MILIMETER,2018
93,32.0,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,6.0,MILIMETER,2018
94,32.0,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,27.5,MILIMETER,2018
95,32.0,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,46.0,MILIMETER,2018
96,32.0,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,67.0,MILIMETER,2018
97,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,45.0,MILIMETER,2019
98,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,38.0,MILIMETER,2019
99,32.0,JAWA BARAT,CITARUM,CIHERANG,MARET,40.0,MILIMETER,2019
100,32.0,JAWA BARAT,CITARUM,CIHERANG,APRIL,59.0,MILIMETER,2019
101,32.0,JAWA BARAT,CITARUM,CIHERANG,MEI,19.0,MILIMETER,2019
102,32.0,JAWA BARAT,CITARUM,CIHERANG,JUNI,0.0,MILIMETER,2019
103,32.0,JAWA BARAT,CITARUM,CIHERANG,JULI,0.0,MILIMETER,2019
104,32.0,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,22.0,MILIMETER,2019
105,32.0,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,0.0,MILIMETER,2019
106,32.0,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,44.0,MILIMETER,2019
107,32.0,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,40.0,MILIMETER,2019
108,32.0,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,70.0,MILIMETER,2019
109,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,32.0,MILIMETER,2019
110,32.0,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,41.0,MILIMETER,2019
111,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MARET,29.0,MILIMETER,2019
112,32.0,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,51.0,MILIMETER,2019
113,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MEI,27.0,MILIMETER,2019
114,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,0.0,MILIMETER,2019
115,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JULI,0.0,MILIMETER,2019
116,32.0,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,0.0,MILIMETER,2019
117,32.0,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,2.0,MILIMETER,2019
118,32.0,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,16.0,MILIMETER,2019
119,32.0,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,39.0,MILIMETER,2019
120,32.0,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,43.0,MILIMETER,2019
121,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,29.0,MILIMETER,2020
122,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,63.0,MILIMETER,2020
123,32.0,JAWA BARAT,CITARUM,CIHERANG,MARET,63.0,MILIMETER,2020
124,32.0,JAWA BARAT,CITARUM,CIHERANG,APRIL,73.0,MILIMETER,2020
125,32.0,JAWA BARAT,CITARUM,CIHERANG,MEI,40.0,MILIMETER,2020
126,32.0,JAWA BARAT,CITARUM,CIHERANG,JUNI,30.0,MILIMETER,2020
127,32.0,JAWA BARAT,CITARUM,CIHERANG,JULI,19.0,MILIMETER,2020
128,32.0,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,12.5,MILIMETER,2020
129,32.0,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,11.0,MILIMETER,2020
130,32.0,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,39.0,MILIMETER,2020
131,32.0,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,26.0,MILIMETER,2020
132,32.0,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,26.0,MILIMETER,2020
133,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,32.2,MILIMETER,2020
134,32.0,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,50.2,MILIMETER,2020
135,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MARET,54.5,MILIMETER,2020
136,32.0,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,45.1,MILIMETER,2020
137,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MEI,50.0,MILIMETER,2020
138,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,31.5,MILIMETER,2020
139,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JULI,12.0,MILIMETER,2020
140,32.0,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,15.0,MILIMETER,2020
141,32.0,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,20.0,MILIMETER,2020
142,32.0,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,63.0,MILIMETER,2020
143,32.0,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,36.0,MILIMETER,2020
144,32.0,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,54.0,MILIMETER,2020
145,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,56.0,MILIMETER,2021
146,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,28.0,MILIMETER,2021
147,32.0,JAWA BARAT,CITARUM,CIHERANG,MARET,36.0,MILIMETER,2021
148,32.0,JAWA BARAT,CITARUM,CIHERANG,APRIL,41.0,MILIMETER,2021
149,32.0,JAWA BARAT,CITARUM,CIHERANG,MEI,78.0,MILIMETER,2021
150,32.0,JAWA BARAT,CITARUM,CIHERANG,JUNI,34.0,MILIMETER,2021
151,32.0,JAWA BARAT,CITARUM,CIHERANG,JULI,37.0,MILIMETER,2021
152,32.0,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,26.0,MILIMETER,2021
153,32.0,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,11.0,MILIMETER,2021
154,32.0,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,28.0,MILIMETER,2021
155,32.0,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,46.0,MILIMETER,2021
156,32.0,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,33.0,MILIMETER,2021
157,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,49.0,MILIMETER,2021
158,32.0,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,43.0,MILIMETER,2021
159,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MARET,37.5,MILIMETER,2021
160,32.0,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,7.0,MILIMETER,2021
161,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MEI,57.5,MILIMETER,2021
162,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,34.0,MILIMETER,2021
163,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JULI,4.0,MILIMETER,2021
164,32.0,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,29.0,MILIMETER,2021
165,32.0,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,18.0,MILIMETER,2021
166,32.0,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,49.0,MILIMETER,2021
167,32.0,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,59.0,MILIMETER,2021
168,32.0,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,43.0,MILIMETER,2021
169,32.0,JAWA BARAT,CITARUM,CIHERANG,JANUARI,23.0,MILIMETER,2022
170,32.0,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,31.0,MILIMETER,2022
171,32.0,JAWA BARAT,CITARUM,CIHERANG,MARET,47.0,MILIMETER,2022
172,32.0,JAWA BARAT,CITARUM,CIHERANG,APRIL,72.0,MILIMETER,2022
173,32.0,JAWA BARAT,CITARUM,CIHERANG,MEI,35.0,MILIMETER,2022
174,32.0,JAWA BARAT,CITARUM,CIHERANG,JUNI,53.0,MILIMETER,2022
175,32.0,JAWA BARAT,CITARUM,CIHERANG,JULI,35.0,MILIMETER,2022
176,32.0,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,21.0,MILIMETER,2022
177,32.0,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,30.0,MILIMETER,2022
178,32.0,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,70.0,MILIMETER,2022
179,32.0,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,38.0,MILIMETER,2022
180,32.0,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,43.0,MILIMETER,2022
181,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,26.0,MILIMETER,2022
182,32.0,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,37.0,MILIMETER,2022
183,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MARET,32.0,MILIMETER,2022
184,32.0,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,76.0,MILIMETER,2022
185,32.0,JAWA BARAT,CITARUM,KAYU AMBON,MEI,46.0,MILIMETER,2022
186,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,19.0,MILIMETER,2022
187,32.0,JAWA BARAT,CITARUM,KAYU AMBON,JULI,18.0,MILIMETER,2022
188,32.0,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,14.0,MILIMETER,2022
189,32.0,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,63.0,MILIMETER,2022
190,32.0,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,43.0,MILIMETER,2022
191,32.0,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,31.0,MILIMETER,2022
192,32.0,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,56.0,MILIMETER,2022
193,,JAWA BARAT,CITARUM,CIHERANG,JANUARI,23.0,MILIMETER,2023
194,,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,32.0,MILIMETER,2023
195,,JAWA BARAT,CITARUM,CIHERANG,MARET,43.7,MILIMETER,2023
196,,JAWA BARAT,CITARUM,CIHERANG,APRIL,41.0,MILIMETER,2023
197,,JAWA BARAT,CITARUM,CIHERANG,MEI,46.0,MILIMETER,2023
198,,JAWA BARAT,CITARUM,CIHERANG,JUNI,29.0,MILIMETER,2023
199,,JAWA BARAT,CITARUM,CIHERANG,JULI,30.0,MILIMETER,2023
200,,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,13.0,MILIMETER,2023
201,,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,15.0,MILIMETER,2023
202,,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,16.0,MILIMETER,2023
203,,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,62.0,MILIMETER,2023
204,,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,49.3,MILIMETER,2023
205,,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,37.0,MILIMETER,2023
206,,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,27.0,MILIMETER,2023
207,,JAWA BARAT,CITARUM,KAYU AMBON,MARET,27.5,MILIMETER,2023
208,,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,22.5,MILIMETER,2023
209,,JAWA BARAT,CITARUM,KAYU AMBON,MEI,53.0,MILIMETER,2023
210,,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,19.5,MILIMETER,2023
211,,JAWA BARAT,CITARUM,KAYU AMBON,JULI,8.0,MILIMETER,2023
212,,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,30.0,MILIMETER,2023
213,,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,24.0,MILIMETER,2023
214,,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,14.0,MILIMETER,2023
215,,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,32.0,MILIMETER,2023
216,,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,79.0,MILIMETER,2023
217,,JAWA BARAT,CITARUM,CIHERANG,JANUARI,62.0,MILIMETER,2024
218,,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,49.5,MILIMETER,2024
219,,JAWA BARAT,CITARUM,CIHERANG,MARET,32.0,MILIMETER,2024
220,,JAWA BARAT,CITARUM,CIHERANG,APRIL,55.0,MILIMETER,2024
221,,JAWA BARAT,CITARUM,CIHERANG,MEI,39.5,MILIMETER,2024
222,,JAWA BARAT,CITARUM,CIHERANG,JUNI,49.9,MILIMETER,2024
223,,JAWA BARAT,CITARUM,CIHERANG,JULI,34.5,MILIMETER,2024
224,,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,10.0,MILIMETER,2024
225,,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,57.0,MILIMETER,2024
226,,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,24.0,MILIMETER,2024
227,,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,80.8,MILIMETER,2024
228,,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,32.0,MILIMETER,2024
229,,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,63.5,MILIMETER,2024
230,,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,54.0,MILIMETER,2024
231,,JAWA BARAT,CITARUM,KAYU AMBON,MARET,28.0,MILIMETER,2024
232,,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,50.0,MILIMETER,2024
233,,JAWA BARAT,CITARUM,KAYU AMBON,MEI,37.0,MILIMETER,2024
234,,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,45.0,MILIMETER,2024
235,,JAWA BARAT,CITARUM,KAYU AMBON,JULI,24.5,MILIMETER,2024
236,,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,50.0,MILIMETER,2024
237,,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,54.0,MILIMETER,2024
238,,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,19.5,MILIMETER,2024
239,,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,84.0,MILIMETER,2024
240,,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,23.5,MILIMETER,2024
